instrument_id,stock_code,grid_sessions,both_days,raw_only_days,adj_only_days,neither_days,raw_only_or_neither_unexplained_days,cohort_included,cohort_reasons,independent_reasons,gate_a_status
19,000250,2459,2459,0,0,0,0,True,,,PASS
20,000440,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,EXCLUDED_UNSUPPORTED_EVENT
27,001000,2459,2459,0,0,0,0,False,RAW_TRADED_OHLC_INVALID;UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,RAW_TRADED_OHLC_INVALID;UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,EXCLUDED_DATA_DEFECT
33,001540,2459,2459,0,0,0,0,True,,,PASS
37,001810,2459,2459,0,0,0,0,True,,,PASS
38,001840,2459,2459,0,0,0,0,True,,,PASS
39,002230,2459,2459,0,0,0,0,True,,,PASS
40,002290,2459,2459,0,0,0,0,True,,,PASS
41,002680,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
42,002800,1681,1681,0,0,0,0,True,,,PASS
43,003100,2459,2459,0,0,0,0,True,,,PASS
44,003310,2459,2459,0,0,0,0,True,,,PASS
45,003380,1599,1599,0,0,0,0,False,CORPORATE_ACTION_PARTIAL;UNSUPPORTED_OR_UNPRICED_EVENT:CAPITAL_REDUCTION,CORPORATE_ACTION_PARTIAL;UNSUPPORTED_OR_UNPRICED_EVENT:CAPITAL_REDUCTION,EXCLUDED_DATA_DEFECT
47,003800,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,EXCLUDED_UNSUPPORTED_EVENT
52,004590,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,EXCLUDED_UNSUPPORTED_EVENT
53,004650,2317,2317,0,0,0,0,True,,,PASS
54,004780,2459,2459,0,0,0,0,True,,,PASS
55,005160,2459,2459,0,0,0,0,True,,,PASS
56,005290,2459,2459,0,0,0,0,True,,,PASS
58,005670,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
59,005710,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
60,005860,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
61,005990,2459,2459,0,0,0,0,False,CORPORATE_ACTION_PARTIAL;UNSUPPORTED_OR_UNPRICED_EVENT:CAPITAL_REDUCTION,CORPORATE_ACTION_PARTIAL;UNSUPPORTED_OR_UNPRICED_EVENT:CAPITAL_REDUCTION,EXCLUDED_DATA_DEFECT
62,006050,2459,2459,0,0,0,0,True,,,PASS
63,006140,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:DIVIDEND_OFF;UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:DIVIDEND_OFF;UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
64,006620,1447,1447,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
65,006730,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:DIVIDEND_OFF;UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:DIVIDEND_OFF;UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
67,006910,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
68,006920,2459,2459,0,0,0,0,True,,,PASS
71,007330,2459,2459,0,0,0,0,True,,,PASS
72,007370,2459,2459,0,0,0,0,True,,,PASS
73,007390,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
74,007530,2459,2459,0,0,0,0,False,UNEXPLAINED_VENDOR_FACTOR;UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNEXPLAINED_VENDOR_FACTOR;UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_DATA_DEFECT
75,007680,1496,1496,0,0,0,0,True,,,PASS
76,007720,2459,2459,0,0,0,0,True,,,PASS
77,007770,2459,2459,0,0,0,0,True,,,PASS
78,007820,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
79,008290,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
81,008370,2459,2459,0,0,0,0,True,,,PASS
82,008470,2459,2459,0,0,0,0,True,,,PASS
83,008830,2459,2459,0,0,0,0,False,RAW_TRADED_OHLC_INVALID;UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,RAW_TRADED_OHLC_INVALID;UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,EXCLUDED_DATA_DEFECT
87,009300,2459,2459,0,0,0,0,True,,,PASS
89,009520,2459,2459,0,0,0,0,True,,,PASS
90,009620,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF;UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF;UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,EXCLUDED_UNSUPPORTED_EVENT
93,009730,2459,2459,0,0,0,0,False,CORPORATE_ACTION_PARTIAL;UNEXPLAINED_VENDOR_FACTOR;UNSUPPORTED_OR_UNPRICED_EVENT:CAPITAL_REDUCTION,CORPORATE_ACTION_PARTIAL;UNEXPLAINED_VENDOR_FACTOR;UNSUPPORTED_OR_UNPRICED_EVENT:CAPITAL_REDUCTION,EXCLUDED_DATA_DEFECT
94,009780,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
99,010170,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
101,010240,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF,EXCLUDED_UNSUPPORTED_EVENT
102,010280,2459,2459,0,0,0,0,False,UNEXPLAINED_VENDOR_FACTOR;UNSUPPORTED_OR_UNPRICED_EVENT:CAPITAL_REDUCTION;UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF;UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,UNEXPLAINED_VENDOR_FACTOR;UNSUPPORTED_OR_UNPRICED_EVENT:CAPITAL_REDUCTION;UNSUPPORTED_OR_UNPRICED_EVENT:RIGHTS_OFF;UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,EXCLUDED_DATA_DEFECT
103,010470,2459,2459,0,0,0,0,True,,,PASS
105,011040,2459,2459,0,0,0,0,False,UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,UNSUPPORTED_OR_UNPRICED_EVENT:SPLIT,EXCLUDED_UNSUPPORTED_EVENT
